Abb,Meaning
CW,Continuous wave
CTL,Control
CTA,Control area
OPC ,Control indicated is operational control
CPDLC,Controller-pilot data link communications
CTR,Control zone
COOR,Coordinate or coordination
UTC,Coordinated Universal Time
Z,Coordinated Universal Time (in meteorological messages)
COORD,Coordinates
CDN,Coordination 
COR,Correct or correction or corrected (used to indicate corrected meteorological message;message type designator)
CCA,Corrected meteorological message
FA,Course from a fix to an altitude
FM,Course from a fix to manual termination (used in navigation database coding)
CF,Course to a fix
CA,Course to an altitude
COV,Cover or covered or covering
X,Cross
XBAR,Crossbar (of approach lighting system)
XNG,Crossing
CRZ,Cruise
CUF,Cumuliform
CB,Cumulonimbus
CU,Cumulus
CPL,Current flight plan (message type designator)
CUST,Customs
CRC,Cyclic redundancy check
DLY,Daily
DNG,Danger or dangerous
D...,Danger area(followed by identification)
D-ATIS,Data link automatic terminal information service
DLIC,Data link initiation capability
D-VOLMET,Data link VOLMET
DTG,Date-time group
DCP,Datum crossing point
DR,Dead reckoning
DEC,December
DA,Decision altitude
DH,Decision height
DEG,Degrees
C,Degrees Celsius (Centigrade)
DLA,Delay (message type designator)
DLA,Delay or delayed
RTD,Delayed (used to indicate delayed meteorological message; message type designator)
RRA,Delayed meteorological message (message type designator)
DUC,Dense upper cloud
DEP,Depart or departure
DEP,Departure (message type designator)
DER,Departure end of the runway
DEPO,Deposition
DPT,Depth
DES,Descend to or descending to
DTAM,Descend to and maintain
DEST,Destination
DTRT,Deteriorate or deteriorating
DEV,Deviation or deviating
DP,Dew point temperature
DIF,Diffuse
DFDR,Digital flight data recorder
DCT,Direct (in relation to flight plan clearances and type of approach)
DCPC,Direct controller-pilot communications
DF,Direction finding
DTHR,Displaced runway threshold
DIST,Distance
DFTI,Distance from touchdown indicator
DME,Distance measuring equipment
DETRESFA,Distress phase
DIV,Divert or diverting
DCKG,Docking
DOM,Domestic
DVOR,Doppler VOR
DCD,Double channel duplex
DCS,Double channel simplex
DSB,Double sideband
D,Downward (tendency in RVR during previous 10 minutes)
QDL,Do you intend to ask me for a series of bearings? or I intend to ask you for a series of bearings (to be used in radiotelegraphy as a Q Code)
DZ,Drizzle
DTW,Dual tandem wheels
DW,Dual wheels
DUR,Duration
DRG,During 
PO,Dust/sand whirls (dust devils)
DS,Duststorm
E,East or eastern longitude
EB,Eastbound
ENE,East-north-east
ESE,East-south-east
WEF,Effective from or with effect from
WIE,Effective immediately or with immediate effect
EFIS,Electronic flight instrument system
ELEV,Elevation
EDA,Elevation differential area
EMBD,Embedded in a layer (to indicate cumulonimbus embedded in layers of other clouds)
EMERG,Emergency
ELBA,Emergency location beacon — aircraft
ELT,Emergency locator transmitter
EM,Emission
ENG,Engine
EVS,Enhanced vision system
ENR,En route
ENRC...,Enroute chart(followed by name/title)
RSR,En-route surveillance radar
EQPT,Equipment
EEE,Error(to be used in AFS as a procedure signed)
EST,Estimate or estimated or estimation (message type designator)
EET,Estimated elapsed time
EOBT,Estimated off-block time
ETA,Estimated time of arrival or estimating arrival
ETD,Estimated time of departure or estimating departure
ETO,Estimated time over significant point
EGNOS,European geostationary navigation overlay service
EUR RODEX,European regional OPMET data exchange
EV,Every
EXC,Except
EXER,Exercises or exercising or to exercise
EXP,Expect or expected or expecting
EFC,Expected further clearance
EAT,Expected approach time
EXTD,Extend or extending
ELR,Extra long range
EHF,Extremely high frequency [30 000 to 300 000 MHZ]
FAL,Facilitation of international air transport
FAC,Facilities
FAX,Facsimile transmission
FEB,February
FT,Feet (dimensional unit)
FPM,Feet per minute
FEW,Few
FTP,Fictitious threshold point
FLD,Field
FPL,Filed flight plan (message type designator)
FNA,Final approach
FATO,Final approach and take-off area
FAF,Final approach fix
FAP,Final approach point
FAS,Final approach segment
FRNG,Firing
FST,First
F,Fixed
FLR,Flares
FLG,Flashing
FLT,Flight
FLTCK,Flight check
FDPS,Flight data processing system
FIC,Flight information centre
FIR,Flight information region
FIS,Flight information service
FL,Flight level
FMC,Flight management computer
FMS,Flight management system
FPAP,Flight path alignment point
PLN,Flight plan 
CNL,Flight plan cancellation (message type designator)
AFIL,Flight plan filed in the air
FPR,Flight plan route
FSS,Flight service station
FTE,Flight technical error
FTT,Flight technical tolerance
FMU,Flow management unit
FLUC,Fluctuating or fluctuation or fluctuated
FLY,Fly or flying
FG,Fog
BCFG,Fog patches
FLW,Follow(s) or following
FCST,Forecast
FZ,Freezing
ZDZ,Freezing drizzle
FZFG,Freezing fog
FZRA,Freezing rain
FREQ,Frequency
FRQ,Frequent
FCT ,Friction coefficient
FRI,Friday
FM,From
FM... ,From(followed by time weather change is forecast to begin)
DE,From (used to precede the call sign of the calling station) (to be used in AFS as a procedure signal)
FRONT,Front (relating to weather)
FROST,.Frost (used in aerodrome warnings)
FR,Fuel remaining
FSL,Full stop landing
FC,Funnel cloud (tornado or water spout)
GARP,GBAS azimuth reference point
GLS,GBAS landing system
GEN,General
GEO,Geographic or true
GUND,Geoid undulation
GP,Glide path
GPA,Glide path angle
GPIP,Glide path intercept point
GLD,Glider
GNSS,Global navigation satellite system
GLONASS,"(to be pronounced ""GLO-NAS"") Global orbiting navigation satellite system"
GPS,Global positioning system
GA,"Go ahead, resume sending (to be used in AFS as a procedure signal)"
GAGAN,GPS and geostationary earth orbit augmented navigation 
GRASS,Grass landing area
GRVL,Gravel
G,Green
GND,Ground
GBAS,"(to be pronounced ""GEE-BAS”) Ground-based augmentation system"
GRAS,"(to be pronounced “""GRASS”"")Ground-based regional augmentation system"
VSA,By visual reference to the ground
GNDCK,Ground check
GCA,Ground controlled approach system or ground controlled approach
GES,Ground earth station
GMC..., Ground movement chart (followed by name/title)
GPWS,Ground proximity warning system
GS,Ground speed
G/A,Ground-to-air
G/A/G,Ground-to-air and air-to-ground
GR,Hail
HBN,Hazard beacon
HZ,Haze
HDG,Heading
VM,Heading to a manual termination
VA,Heading to an altitude
VI,Heading to an intercept
HUD,Head-up display 
HVY,Heavy
HVY,"Heavy (used to indicate the intensity of weather phenomena, e.g. heavy rain = HVY RA)"
HPA,Hectopascal
HGT,Height or height above
HEL,Helicopter
HAPI,Helicopter approach path indicator
ER,Here...or herewith
HZ,Hertz (cycle per second)
HVDF,High and very high frequency direction-finding stations (at the same location)
HF,High frequency [3 000 to 30 000 kHz]
HDF,High frequency direction-finding station
H,High pressure area or the centre of high pressure
HYR,Higher
HLDG,Holding
HF,Holding/racetrack to a fix
HM,Holding/racetrack to a manual termination
HA,Holding/racetrack to an altitude
HOL,Holiday
HOSP,Hospital aircraft
HR,Hours
HURCN,Hurricane
NIL,None or I have nothing to send to you
IC,"Ice crystals (very small ice crystals in suspension, also known as diamond dust)"
IR,Ice on runway
PL,Ice pellets
ICE,Icing
IDENT,Identification
IBN,Identification beacon
IFF,Identification friend/foe
ID,Identifier or identify
INP,If not possible
IMT,Immediate or immediately
IMG,Immigration
IMPR,Improve or improving
IAO,In and out of clouds
INC,In cloud
INBD,Inbound
ISB,Independent sideband
IAS,Indicated airspeed
TX,Indicator for Maximum temperature (used in the TAF code form)
INS,Inertial navigation system
IRS,Inertial reference system
INFO,Information
SIGMET,Information concerning en-route weather phenomena which may affect the safety of aircraft operations
AIRMET,Information concerning en-route weather phenomena which may affect the safety of low-level aircraft operations
INA,Initial approach
IAF,Initial approach fix
LAN,Inland
IM,Inner marker
INOP,Inoperative
INPR,In progress
INSTL,Install or installed or installation
INSTR,Instrument
IAC...,Instrument approach chart(followed by name/title)
IAP,Instrument approach procedure
IFR,Instrument flight rules
ILS,Instrument landing system
IMC,Instrument meteorological conditions
INTSF,Intensify or intensifying
INTST,Intensity
IF,Intermediate approach fix
INTL,International
IGA,International general aviation
NOF,International NOTAM office
ISA,International standard atmosphere
SI,International system of units
IMI,Interrogation sign (question mark) (to be used in AFS as a procedure signal)
INTRG,Interrogator
INTRP,Interrupt or interruption or interrupted
INT,Intersection
IAR,Intersection of air routes
VAL,In valleys
ISOL,Isolated
JAN,January 
JTST,Jet stream
JUL,July
JUN,June
KG,Kilograms
KHZ,Kilohertz
KM,Kilometres
KMH,Kilometres per hour
KPA,Kilopascal
KW,Kilowatts
KT,Knots
KIAS,Knots indicated airspeed
LDG,Landing
LDI,Landing direction indicator
LDA,Landing distance available
LDAH,"Landing distance available, helicopter"
LTP,Landing threshold point
LTT,Landline teletypewriter
LNAV,Lateral navigation
LAT,Latitude
LYR,Layer or layered
LVE,Leave or leaving
...L,Left (preceded by runway designation number to identify a parallel runway)
LEN,Length
LVL,Level
FBL,"Light (used to indicate the intensity of weather phenomena, interference or static reports, e.g. FBL RA = light rain)"
LGT,Light or lighting
LV,Light and variable (relating to wind)
LIH,Light intensity high
LIL,Light intensity low
LIM,Light intensity medium
LGTD,Lighted
LTD,Limited
LINE,Line (used in SIGMET)
LCA,Local or locally or location or located
LMT,Local mean time
MET REPORT,Local routine meteorological report (in abbreviated plain language)
SPECIAL,Local special meteorological report(in abbreviated plain language)
LOC,Localizer
LPV,Localizer performance with vertical guidance
L,Locator
LM,"Locator, middle"
LO,"Locator, outer"
LAM,Logical acknowledgement (message type designator)
LNG,Long (used to indicate the type of approach desired or required)
LONG,Longitude
LRG,Long range
LORAN,LORAN (long range air navigation system)
DR...,"Low drifting(followed by DU = dust, SA = sand or SN = snow)"
LF,Low frequency [30 to 300 kHz]
L,Low pressure area or the centre of low pressure
LVP,Low visibility procedures
M...,Mach number(followed by figures)
MAG,Magnetic
QDR,Magnetic bearing
QDM,Magnetic heading (zero wind)
QFU,Magnetic orientation of runway
VAR,Magnetic variation
MNTN,Maintain
MAINT,Maintenance
MAS ,Manual Al simplex
MAR,March
MKR,Marker radio beacon
MAX,Maximum
MAA,Maximum authorized altitude
TX . . .,Maximum temperature (followed by figures in TAF)
P...,Maximum value of wind speed or runway visual range(followed by figures in METAR/SPECI and TAF)
MAY,May
MSL,Mean sea level
MHDF,Medium and high frequency direction-finding stations (at the same location)
MF,Medium frequency [300 to 3 000 kHz]
MDF,Medium frequency direction-finding station
MHVDF,"Medium, high and very high frequency direction-finding stations (at the same location)"
MRG,Medium range
MHZ,Megahertz
MSG,Message
MSR,Message...(transmission identification) has been misrouted (to be used in AFS as a procedure signal)
MET,Meteorological or meteorology
VOLMET,Meteorological information for aircraft in flight
MWO,Meteorological watch office
...M,Metres (preceded by figures)
MPS,Metres per second
MTU,Metric units
MBST,Microburst
MLS,Microwave landing system
MM,Middle marker
MID,Mid-point (related to RVR)
MIL,Military
MOA,Military operating area
MNM,Minimum
MCA,Minimum crossing altitude
MDA,Minimum descent altitude
MDH,Minimum descent height
MEA,Minimum en-route altitude
MEHT,Minimum eye height over threshold（for visual　approach slope indicator systems)
MNPS,Minimum navigation performance specifications
MOC,Minimum obstacle clearance (required)
MOCA,Minimum obstacle clearance altitude
MOPS,Minimum operational performance standards
MRA,Minimum reception altitude
MSAW,Minimum safe altitude warning
MSA,Minimum sector altitude
TN...,Minimum temperature(followed by figures in TAF)
M...,Minimum value of runway visual range(followed by figures in METAR/SPECI)
MS,Minus
MIN,Minutes
MAHF,Missed approach holding fix
MAPT,Missed approach point
MATF,Missed approach turning fix
MIS,Missing...(transmission identification) (to be used in AFS as a procedure signal)
BR,Mist
MX,Mixed type of ice formation (white and clear)
MOD,"Moderate (used to indicate the intensity of weather phenomena, interference or static reports, e.g. MODRA = moderate rain)"
CHG,Modification (message type designator)
MCW,Modulated continuous wave
MON,Monday
MNT,Monitor or monitoring or monitored
MSSR,Monopulse secondary surveillance radar
MT,Mountain
MTW,Mountain waves
MOV,Move or moving or movement
MSAS,Multifunctional transport satellite (MTSAT) satellite-based augmentation system
NTL,National
NASC,National AIS system centre
NM,Nautical miles
NAV,Navigation
NSE,Navigation system error
CIT,Near or over large towns
NXT,Next
NGT,Night
NSC,Nil significant cloud
NSW,Nil significant weather
NS,Nimbostratus
NEG,No or negative or permission not granted or that is not correct
NC,No change
NCD,No cloud detected (used in automated METAR/SPECI)
NDV,No directional variations available (used in automated METAR/SPECI)
N,No distinct tendency (in RVR during previous 10 minutes)
NO,No (negative) (to be used in AFS as a procedure signal)
NN,"No name, unnamed"
NRH,No reply heard
NOSIG,No significant change (used in trend-type landing forecasts)
HX,No specific working hours
NTZ,No transgression zone
NADP,Noise abatement departure procedure
NDB,Non-directional radio beacon
NPA,Non-precision approach
NIL,None or I have nothing to send to you.
NML,Normal
NOZ,Normal operating zone
N,North or northern latitude
NAT,North Atlantic
NB,Northbound
NE,North-east
NEB,North-eastbound
NNE,North-north-east
NNW,North-north-west
NW,North-west
NWB,North-westbound
NBFR,Not before
NOTAM,"A notice distributed by means of telecommunication containing information concerning the establishment, condition or change in any aeronautical facility, service, procedure or hazard, the timely knowledge of which is essential to  personnel concerned with flight operations"
ACCID,Notification of an aircraft accident
NOV,November
NR,Number
OBSC,Obscure or obscured or obscuring
OBS,Observe or observed or observation
OBST,Obstacle
OAS,Obstacle assessment surface
OCA,Obstacle clearance altitude
OCH,Obstacle clearance height
OCS,Obstacle clearance surface
OFZ,Obstacle free zone .
OIS,Obstacle identification surface
OCNL,Occasional or occasionally
OCC,Occulting (light)
OSV,Ocean station vessel
OAC,Oceanic area control centre
OCA,Oceanic control area
OCT,October
OLDI,On-line data interchange
O/R,On request
OTP,On top
OPA,"Opaque, white type of ice formation"
OPN,Open or opening or opened
OPS,Operations
OPR,Operator or operate or operative or operating or operational
OPC ,Operational control is the control indicated 
OPMET,Operational meteorological (information)
ORD,Order
OTS,Organized track system
OGN,Originate (to be used in AFS as a procedure signal)
OUBD,Outbound
OM,Outer marker
OVC,Overcast
OHD,Overhead
PJE,Parachute jumping exercise
PARL,Parallel
PRKG,Parking
PAX,Passenger(s)
PSG,Passing
PCN,Pavement classification number
PER,Performance
PBN,Performance-based navigation
PERM,Permanent
POB,Persons on board
PSP,Pierced steel plank
PCL,Pilot-controlled lighting
PPI,Plan position indicator
PS,Plus
PRP,Point-in-space reference point
PNR,Point of no return
PTS,Polar track structure
PSN,Position
POSS,Possible
PWR,Power
PLA,Practice low approach
PA,Precision approach
PALS,Precision approach lighting system (specify category)
PAPI,Precision approach path indicator
PAR,Precision approach radar
PATC...,Precision approach terrain chart(followed by name/title)
PDC,Pre-departure clearance
PIB,Pre-flight information bulletin
PLVL,Present level
PPSN,Present position
PSYS,Pressure system(s)
PRI,Primary
PSR,Primary surveillance radar
PN,Prior notice required
PPR,Prior permission required
PROB,Probability
PROC,Procedure
PDG,Procedure design gradient
PTN,Procedure turn
PANS,Procedures for air navigation services
PCD,Proceed or proceeding
GRID,Processed meteorological data in the form of grid point values expressed in binary form(meteorological code)
P...,Prohibited area(followed by identifcation)
PROV,Provisional
QUAD,Quadrant
RPI,Radar position indicator
RPS,Radar position symbol
RDL,Radial
RDO,Radio
RNG,Radio range
RCF,Radiocommunication failure (message type designator)
RTG,Radiotelegraph
RTF,Radiotelephone
RTT,Radioteletypewriter
RAG,Ragged
RA,Rain
RG,Range (lights)
ROC,Rate of climb
ROD,Rate of descent
R,Rate of turn
RCH,Reach or reaching
RCA,Reach cruising altitude
REC,Receive or receiver
R,Received (acknowledgement of receipt) (to be used in AFS as a procedure signal)
RAIM,Receiver autonomous integrity monitoring
RON,Receiving only
RE,"Recent (used to qualify weather phenomena, e.g. RERA = recent rain)"
RIF,Reclearance in flight
RCLR,Recleared
R,Red
RVSM,Reduced vertical separation minimum (300 m(1 000 ft)) between FL 290 and FL 410
RDH,Reference datum height
RPDS,Reference path data selector
REF,Reference to. . . or refer to. . .
RASC,Regional AIS system centre
ROBEX,Regional OPMET bulletin exchange (scheme)
SUPPS,Regional supplementary procedures
REG,Registration
RTODAH,"Rejected take-off distance available, helicopter"
RLA,Relay to
RMK,Remark
RASS,Remote altimeter setting source
RPT,Repeat or I repeat (to be used in AFS as a procedure signal)
RPL,Repetitive flight plan
RPLC,Replace or replaced
REP,Report or reporting or reporting point
RL,Report leaving
RR,Report reaching 
REQ,Request or requested
RQ,Request (to be used in AFS as a procedure signal)
RQP,Request flight plan (message type designator)
RLCE,Request level change en route
RQS,Request supplementary flight plan (message tvpe designator)
RLNA,Request level not available
RCP,Required communication performance
RNP,Required navigation performance
RQMNTS,Requirements
RERTE,Re-route
RB,Rescue boat
RCC,Rescue coordination centre
RSC,Rescue sub-centre
RV,Rescue vessel
RA,Resolution advisory
RSP,Responder beacon
R...,Restricted area(followed by identification)
RTN,Return or returned or returning
RTS,Return to service
RITE,Right (direction of turn)
...R,Right (preceded by runway designation number to identifi a parallel runway)
RHC,Right-hand circuit
RIME,Rime (used in aerodrome warnings)
RSS,Root sum square
RTE,Route
RAC,Rules of the air and air traffic services
RWY,Runway
R...,Runway(followed by figures in rn METAR/SPECI)
RAI,Runway alignment indicator
RAG,Runway arresting gear
RCL,Runway centre line
RCLL,Runway centre line light(s)
CLRD,Runway(s) cleared (used in METAR/SPECI) 
VAN,Runway control van
REDL,Runway edge light(s)
RENL,Runway end light(s)
RESA,Runway end safety area
RLLS,Runway lead-in lighting system
RSCD,Runway surface condition
RTHL,Runway threshold light(s)
RTZL,Runway touchdown zone light(s)
RVR,Runway visual range
SA,Sand
SS,Sandstorm
SAN,Sanitary
SPOC,SAR point of contact
SBAS,Satellite-based augmentation system
SATCOM,Satellite communication
SAT,Saturday
SCT,Scattered
SKED,Schedule or scheduled
SEA,Sea (used in connection with sea-surface temperature and state of the sea)
W...,Sea-surface temperature(followed by figures in METAR/SPECI)
SAR,Search and rescue
SRR,Search and rescue region
SRY,Secondary
SSR,Secondary surveillance radar
SEC,Seconds
SECN,Section
SECT,Sector
SELCAL,Selective calling system
SIF,Selective identification feature
SEP,September
SER,Service or servicing or served
HS,Service available during hours of scheduled operations
HO,Service available to meet operational requirements
SVC,Service message
SVCBL,Serviceable
SEV,Severe (used e.g. to qualify icing and turbulence reports)
QTA,Shall I cancel telegram number...? or Cancel telegram number... (to be used in AFS as a Q Code)
QJH,Shall I run my test tape/a test sentence? or Run your test tape/a test sentence (to be used in AFS as a Q Code).
MIFG,Shallow fog
BRF,Short (used to indicate the type of approach desired or required)
SRG,Short range
STOL,Short take-off and landing
SH...,"Shower(followed by RA = rain, SN = snow, PL = icepellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof; e.g. SHRASN = showers of rain and snow)"
SGL,Signal
SIG ,Significant
SALS,Simple approach lighting system
SIMUL ,Simultaneous or simultaneously
SIWL,Single isolated wheel load
SSB,Single sideband
SLW,Slow
GS,Small hail and/or snow pellets
FU,Smoke
SN,Snow
SG,Snow grains
S,South or southern latitude
SB,Southbound
SE,South-east
SEB,South-eastbound
SSE,South-south-east
SSW,South-south-west
SW,South-west
SWB,South-westbound
ARS,Special air-report(message type designator)
SPI,Special position indicator
ASHTAM,"Special series NOTAM notifying, by means of a specific format, change in activity of a volcano, a volanic eruption and/or volcanic ash cloud that is of significance to aircraft operations"
SNOWTAM,"Special series NOTAM notifying the presence or removal of hazardous  conditions due to snow, ice, slush or standing water associated with snow, slush and ice on the movement area, by means of a specific format"
SLP,Speed limiting point
SPOT,Spot wind
SQ,Squall
SQL,Squall line
SDBY,Stand by
STD,Standard
SD,Standard deviation
STAR,Standard instrument arrival
SID,Standard instrument departure
RUT,Standard regional route transmitting frequencies
SARPS,Standards and Recommended Practices[ICAO]
SOC,Start of climb
S...,State of the sea(followed by figures in METAR/SPECI)
STN,Station
STNR,Stationary
STS,Status
SDF,Step down fix
END,Stop-end (related to RVR)
SWY,Stopway
STWL,Stopway light(s)
STA,Straight-in approach
STF,Stratiform
SC,Stratocumulus
ST,Stratus
SUBJ,Subject to
SUN,Sunday
SR,Sunrise
HJ,Sunrise to sunset
SS,Sunset
HN,Sunset to sunrise
SHF,Super high frequency [3 000 to 30 000 MHz]
SST,Supersonic transport
SUP,Supplement (AIP Supplement)
SPL,Supplementary flight plan (message type designator)
SFC,Surface
SMC ,Surface movement control
SMR,Surface movement radar
SRA,Surveillance radar approach
SRE,Surveillance radar element of precision approach radar system
TAIL,Tail wind
TKOF,Take-off
TODA,Take-off distance available
TODAH,"Take-off distance available, helicopter"
TORA,Take-off run available
TAX,Taxiing or taxi
TGS,Taxiing guidance system
TWY,Taxiway
TWYL,Taxiway-link
TECR,Technical reason
TEL,Telephone
TT,Teletypewriter
T,Temperature
TEMPO,Temporary or temporarily
TRA,Temporary reserved airspace
TAR,Terminal area surveillance radar
TAA,Terminal arrival altitude
TMA,Terminal control area
TVOR,Terminal VOR
TXT,"Text (when the abbreviation is used to request a repetition, the question mark(IM) precedes the abbreviation, e.g. IMITXT) (to be used in AFS as a procedure signal)"
ADS,Automatic dependent surveillance
LR,The last message received by me was...(to be used in AFS as a procedure signal)
LS,The last message sent by me was... or Last message was... (to be used in AFS as a procedure signal)
CH,This is a channel-continuity-check of transmission to permit comparison of your record of channel-sequence numbers of messages received on the channel (to be used in AFS as a procedure signal)
DUPE,This is a duplicate message (to be used in AFS as a procedure signal)
THR,Threshold
TCH,Threshold crossing height
THRU,Through
TS,"Thunderstorm (in aerodrome reports and forecasts, TS used alone means  thunder heard but no precipitation at the aerodrome)"
TS...,"Thunderstorm(followed by RA = rain, SN = snow: PL = icepellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof; e.g. TSRASN = thunderstorm with rain and snow)"
THU,Thursday
TL...,Till(followed by time by which weather change is forecast to end)
TO...,To... (place)
TOC,Top of climb
TDO,Tornado
TGL,Touch-and-go landing
TLOF,Touchdown and lift-off area
TDZ,Touchdown zone
TCU,Towering cumulus
TOX,Toxic 
TR,Track
TF,Track to fix
TFC,Traffic
TA,Traffic advisory
TCAS RA,Traffic alert and collision avoidance system resolution advisory
TIBA,Traffic information broadcast by aircraft
TA,Transition altitude
TRL,Transition level
TRANS,Transmits or transmitter
TREND,Trend forecast
TC,Tropical cyclone
TCAC,Tropical cyclone advisory centre
TROP,Tropopause
...T,True (preceded by a bearing to indicate reference to True North)
TAS,True airspeed
QTE,True bearing
TSUNAMI,Tsunami (used in aerodrome warnings)
TUE,Tuesday
TURB,Turbulence
TNA,Turn altitude
TA/H,Turn at an altitude/height
TNH,Turn height
